name,category,address,maps_url
ZUS Coffee – Universiti Malaya Centre for Continuing Education,Kuala Lumpur/Selangor,"VIP Dining, Cyberview 23, Jalan Teknokrat 3, Cyber 4, 63000 Cyberjaya, Selangor",https://maps.app.goo.gl/r9fWQegqWYNN5YGh9
Ready-To Zus – Holiday Inn Express Hotel KL,Kuala Lumpur/Selangor,"Lot G01, Ground Floor, 84, Jalan Raja Chulan, Kuala Lumpur, 50200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",https://maps.app.goo.gl/tTGVQUum8VZxHCiDA
ZUS Coffee – MSU Medical Centre,Kuala Lumpur/Selangor,"Lot A01 (Ground Floor), MSU Medical Centre, University Drive, Off Persiaran Olahraga, Seksyen 13, 40100 Shah Alam, Selangor.",https://maps.app.goo.gl/jqLkNUJLJTSDrwiv5
ZUS Coffee – Bandar Teknologi Kajang,Kuala Lumpur/Selangor,"No. G-8 (Ground Floor), Jalan 1/2, HILLPARK RESIDENCE, Seksyen 1 Bandar Teknologi Kajang, 43500 Semenyih, Selangor",https://maps.app.goo.gl/9cNsY6ftsn1d5rgx9
ZUS Coffee – Menara VSQ Petaling Jaya,Kuala Lumpur/Selangor,"B03, Ground Floor, VSQ@PJ City Centre, Jalan Utara, 46200 Petaling Jaya, Selangor",https://maps.app.goo.gl/PAvN2P4C7TSVRLiH9
ZUS Coffee – Damansara Damai,Kuala Lumpur/Selangor,"L-013 (Ground Floor), Vista Shop, Jalan PJU 10/2A, Damansara Damai,47830 Petaling Jaya, Selangor",https://maps.app.goo.gl/x3vfoWpBpRLG9K327
ZUS Coffee – AEON Mall Cheras Selatan,Kuala Lumpur/Selangor,"KF3 & KF5, First Floor, Aeon Mall Cheras,�Selatan, Jalan Cheras Perdana Cheras, 43200,�Balakong, Selangor",https://maps.app.goo.gl/UrdwdN3cYSCCSuqB7
"ZUS Coffee – Setia Prima, Setia Alam",Kuala Lumpur/Selangor,"8-1-2 (Ground Floor), Jalan Setia Prima P U13/P, Setia Alam, 40170 Shah Alam, Selangor",https://maps.app.goo.gl/1i1djZnUqsuTjtip7
ZUS Coffee – The Glenz @Glenmarie,Kuala Lumpur/Selangor,"G-3B (Ground Floor), Subplace Boulevard Pusat Kormersil Vestland, No.6, Jalan Juruanalisis U1/35, Seksyen U1, 40150 Shah Alam, Selangor Darul Ehsan",https://maps.app.goo.gl/qyNRDn9vdyN7ebpa9
ZUS Coffee – Puchong Utama,Kuala Lumpur/Selangor,"A-G-9 (Ground Floor), Block A, Dataran Puchong, Jalan PU 7/1, Taman Puchong Utama, 47140 Puchong, Selangor",https://maps.app.goo.gl/JFR4PpoU3195PJiQ7
ZUS Coffee – Sunway Pyramid,Kuala Lumpur/Selangor,"Lot LG2.37, Level LG2, Sunway Pyramid, 3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor",https://maps.app.goo.gl/gEZekwMHNSMr48rM8
ZUS Coffee – Setapak Central Mall,Kuala Lumpur/Selangor,"GK-08, Ground Floor, 67, Jln Taman Ibu Kota, Taman Danau Kota, 53300 Kuala Lumpur, Wilayah Persekutuan",https://maps.app.goo.gl/Bm11m4TsgbU4vHuN7
ZUS Coffee – The Exchange TRX,Kuala Lumpur/Selangor,"Lot C.98.0, The Exchange TRX, Persiaran TRX, Tun Razak Exchange, 55188 Kuala Lumpur, Wilayah Persekutuan",https://maps.app.goo.gl/dF2G1ifX7ZNim34X9
